,badge,work_date,cost_center,num_hours,category,description,ws_rule,ws_rule_text,status,race,,,
141,2747,10/6/19,1646,11.52,4006,Double Time,A11&8P62,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
142,2760,10/6/19,2736,7.48,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
143,2767,10/6/19,2942,7.48,4006,Double Time,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
144,2803,10/6/19,2777,7.53,4006,Double Time,AZB1,A-Shift Z3 Body Team 1,Active,Non-Hispanic/Latino,,,
145,2809,10/6/19,2651,7.18,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
146,2841,10/6/19,2736,5.41,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
147,2846,10/6/19,2641,4.3,4007,DTime: Premium,A0700AA1,A-Shift 07:00 Start 10 hr,Active,Non-Hispanic/Latino,,,
148,2853,10/6/19,1340,10.33,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
149,2891,10/6/19,1621,11.5,4006,Double Time,A11&8P62,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
150,2892,10/6/19,1720,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
151,2898,10/6/19,2941,7.21,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
152,2904,10/6/19,2942,8.13,4006,Double Time,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
153,2909,10/6/19,2942,6.5,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
154,2923,10/6/19,2942,7.5,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
155,2925,10/6/19,1850,8.31,4006,Double Time,APUB,A-Shift UBS,Active,Non-Hispanic/Latino,,,
156,2938,10/6/19,1740,11.52,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
157,2944,10/6/19,1720,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
158,2951,10/6/19,1646,11.52,4006,Double Time,A11&8P62,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
